City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
245,vestmannaeyjar,63.4427,-20.2734,271.7,74,20,1.54,IS,1679041156
246,luderitz,-26.6481,15.1594,292.93,77,100,4.25,NA,1679041156
247,nova russas,-4.7067,-40.5631,294.58,97,100,0.1,BR,1679041157
248,goksun,38.021,36.4973,280.8,69,100,3.18,TR,1679041158
249,tual,-5.6667,132.75,301.73,69,46,1.67,ID,1679041158
250,bud,39.447,-86.1758,284.18,89,100,8.4,US,1679041159
251,ati,13.2154,18.3353,305.18,10,43,6.6,TD,1679041159
252,ust-ishim,57.6935,71.1665,274.81,99,100,3.75,RU,1679041160
253,dingle,10.9995,122.6711,302.08,70,89,6.01,PH,1679041161
254,acapulco,16.8634,-99.8901,297.05,88,0,0.0,MX,1679041161
255,aklavik,68.2191,-135.0107,239.72,98,61,1.18,CA,1679041162
256,wysokie mazowieckie,52.9166,22.5171,275.4,59,100,3.29,PL,1679041165
257,murgab,37.4966,61.9714,300.08,28,0,3.09,TM,1679041166
258,yingcheng,30.95,113.55,280.44,73,100,5.37,CN,1679041167
259,lashio,22.9333,97.75,304.55,18,40,2.91,MM,1679041167
260,aksarka,66.5606,67.7975,270.09,97,100,2.23,RU,1679041168
261,nagato,34.3833,131.2,285.3,78,100,4.7,JP,1679041168
262,springbok,-29.6643,17.8865,297.47,41,0,1.54,ZA,1679041169
263,half moon bay,37.4636,-122.4286,283.07,83,0,1.54,US,1679041045
264,khatanga,71.9667,102.5,259.34,85,100,12.03,RU,1679041170
265,ustye,59.6304,39.736,270.08,88,100,3.56,RU,1679041171
266,baisha,26.5222,110.9311,283.14,90,100,1.54,CN,1679041171
267,hirado,33.3597,129.5531,286.14,87,100,9.03,JP,1679041172
268,dicabisagan,17.0818,122.4157,299.42,68,35,2.78,PH,1679041173
269,mareeba,-17.0,145.4333,301.73,71,45,2.45,AU,1679041173
270,oyama,36.3,139.8,285.25,59,100,3.37,JP,1679041174
271,key west,24.5557,-81.7826,296.15,56,100,8.23,US,1679040945
272,bria,6.5423,21.9863,296.96,76,100,1.64,CF,1679041175
273,altay,47.8667,88.1167,275.61,98,100,1.2,CN,1679041176
274,hobyo,5.3505,48.5268,302.64,66,56,5.04,SO,1679041176
275,streator,41.1209,-88.8354,274.29,93,100,3.13,US,1679041177
276,gulu,2.7746,32.299,302.4,39,83,4.14,UG,1679041177
277,pacific grove,36.6177,-121.9166,282.6,91,0,1.54,US,1679041178
278,rocha,-34.4833,-54.3333,294.85,97,100,1.66,UY,1679041178
279,norman wells,65.282,-126.8329,250.17,64,75,2.06,CA,1679041179
280,methoni,36.8197,21.7049,283.83,77,69,3.81,GR,1679041180
281,deep river,46.1001,-77.4995,273.68,95,100,0.45,CA,1679040925
282,nhulunbuy,-12.2333,136.7667,302.49,74,40,4.12,AU,1679041180
283,beisfjord,68.3751,17.5988,267.86,73,0,3.53,NO,1679041181
284,hamilton,39.1834,-84.5333,283.38,89,100,4.63,US,1679040899
285,bushehr,28.9684,50.8385,296.2,46,0,8.75,IR,1679041182
286,urumqi,43.801,87.6005,284.68,44,0,4.0,CN,1679041183
287,kavieng,-2.5744,150.7967,300.29,74,100,3.42,PG,1679041183
288,matamoros,25.5333,-103.25,292.54,23,50,0.74,MX,1679041026
289,lyman,48.9884,37.8023,281.6,74,100,3.58,UA,1679041184
290,olinda,-8.0089,-34.8553,297.0,88,20,1.03,BR,1679041185
291,mitchell,43.7094,-98.0298,268.21,83,40,6.17,US,1679040983
292,jaque,7.5175,-78.1703,297.78,85,97,2.13,PA,1679041186
293,homer,59.6425,-151.5483,271.93,89,75,1.79,US,1679041187
294,takoradi,4.8845,-1.7554,301.17,81,45,4.01,GH,1679041188
295,samarai,-10.6167,150.6667,298.03,93,100,2.05,PG,1679041189
296,peniche,39.3558,-9.3811,288.46,86,2,7.77,PT,1679041189
297,sorland,67.667,12.6934,273.07,64,0,12.86,NO,1679041190
298,tolaga bay,-38.3667,178.3,291.74,86,96,3.88,NZ,1679041190
299,haines junction,60.7522,-137.5108,264.12,92,98,0.0,CA,1679041191
300,kinkala,-4.3614,14.7644,297.1,82,81,1.72,CG,1679040947
301,bom jesus,-9.0744,-44.3586,295.03,92,99,0.6,BR,1679040983
302,sao joaquim,-28.2939,-49.9317,284.32,99,20,1.29,BR,1679041010
303,tartagal,-22.5164,-63.8013,293.93,82,20,1.33,AR,1679041192
304,college,64.8569,-147.8028,252.92,75,40,1.54,US,1679041193
305,salalah,17.0151,54.0924,303.2,62,20,5.66,OM,1679041194
306,cabo san lucas,22.8909,-109.9124,295.66,50,1,4.91,MX,1679041194
307,kahului,20.8947,-156.47,296.95,80,0,4.63,US,1679041195
308,rawson,-43.3002,-65.1023,287.54,60,100,5.42,AR,1679041195
309,ostrovnoy,68.0531,39.5131,264.94,83,65,7.34,RU,1679041196
310,mahebourg,-20.4081,57.7,300.51,94,75,5.14,MU,1679041196
311,nijar,36.9665,-2.206,286.85,63,0,1.54,ES,1679041197
312,leshukonskoye,64.8989,45.7622,269.21,85,64,3.1,RU,1679041198
313,necochea,-38.5473,-58.7368,292.23,93,0,3.26,AR,1679041198
314,el porvenir,13.7617,-87.3458,294.78,78,42,1.2,HN,1679041199
315,katangli,51.7102,143.2326,266.74,77,100,3.41,RU,1679041200
316,banyo,6.75,11.8167,300.63,24,88,0.88,CM,1679041200
317,henties bay,-22.116,14.2845,291.1,86,73,1.54,NA,1679041201
318,bangassou,4.7413,22.8184,300.26,64,99,1.26,CF,1679041201
319,tiksi,71.6872,128.8694,264.92,79,100,11.78,RU,1679041202
320,sawtell,-30.3833,153.1,299.16,69,0,3.6,AU,1679041203
321,narsaq,60.9167,-46.05,265.27,64,50,3.88,GL,1679041203
322,qaqortoq,60.7167,-46.0333,261.11,65,45,3.41,GL,1679041204
323,sedalia,38.7045,-93.2283,272.1,80,0,9.39,US,1679041204
324,alekseyevsk,57.8406,108.3492,273.69,87,99,5.21,RU,1679041205
325,ligayan,4.6533,119.4706,301.21,72,100,2.92,PH,1679041206
326,ushtobe,45.2514,77.9838,278.46,38,91,5.15,KZ,1679041207
327,wladyslawowo,54.7909,18.4009,279.23,73,100,7.41,PL,1679041207
328,kargil,34.5667,76.1,270.76,88,100,1.32,IN,1679041208
329,fortaleza,-3.7227,-38.5247,297.22,94,0,1.03,BR,1679041028
330,muskegon,43.3,-86.1334,282.02,91,100,4.12,US,1679041209
331,saskylakh,71.9167,114.0833,270.28,90,99,8.0,RU,1679041210
332,isangel,-19.55,169.2667,300.11,85,99,3.49,VU,1679041211
333,palana,59.1167,159.9667,270.44,86,100,2.38,RU,1679041211
334,sheridan,44.8333,-106.9173,267.77,66,0,3.6,US,1679041212
335,saint-augustin,51.226,-58.6502,273.18,86,98,6.38,CA,1679041212
336,koumac,-20.5667,164.2833,300.27,83,71,5.27,NC,1679041213
337,dnipryany,46.7463,33.2729,281.56,79,100,5.88,UA,1679041214
338,swakopmund,-22.6833,14.5333,292.03,85,35,1.34,NA,1679041214
339,preston,53.7667,-2.7167,283.09,94,75,2.57,GB,1679041215
340,akcaabat,41.0212,39.5715,283.08,100,100,1.03,TR,1679041216
341,kawalu,-7.3817,108.2082,300.73,79,100,1.06,ID,1679041216
342,dustlik,40.5247,68.0358,291.83,36,0,1.07,UZ,1679041217
343,dryden,49.7833,-92.7503,263.31,85,100,4.63,CA,1679041217
344,korla,41.7597,86.1469,288.7,24,23,5.68,CN,1679041218
345,uberlandia,-18.9186,-48.2772,293.71,83,0,3.09,BR,1679041219
346,macaiba,-5.8583,-35.3539,296.61,100,75,2.06,BR,1679041219
347,chimbote,-9.0853,-78.5783,297.93,80,100,2.31,PE,1679041220
348,mekhe,15.1097,-16.6218,292.42,90,32,3.8,SN,1679041220
349,paamiut,61.994,-49.6678,263.37,63,99,4.54,GL,1679041221
350,itarema,-2.9248,-39.9167,296.48,91,100,1.24,BR,1679040951
351,kaitangata,-46.2817,169.8464,285.7,68,100,4.01,NZ,1679041222
352,cabras,39.93,8.5314,288.63,48,2,3.85,IT,1679041223
353,mount isa,-20.7333,139.5,307.02,38,7,3.6,AU,1679041224
354,sabha,27.0377,14.4283,290.83,29,0,4.58,LY,1679041224
355,souillac,-20.5167,57.5167,300.36,94,75,5.14,MU,1679041225
356,taoudenni,22.6783,-3.9836,297.72,11,11,4.07,ML,1679041225
357,nanortalik,60.1432,-45.2371,264.15,78,47,2.06,GL,1679041226
358,tete,-16.1564,33.5867,299.2,73,75,2.57,MZ,1679041227
359,two rivers,44.1539,-87.5693,275.46,96,100,3.6,US,1679041227
360,marawi,7.9986,124.2928,296.31,93,100,1.91,PH,1679041228
361,olafsvik,64.8945,-23.7142,270.18,54,100,3.04,IS,1679041228
362,hervey bay,-25.2986,152.8535,300.22,77,5,4.48,AU,1679041230
363,kizhinga,51.8462,109.9097,275.58,43,5,4.9,RU,1679041230
364,privolzhskiy,51.4,46.0333,280.43,62,44,4.14,RU,1679041231
